Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite,Chrome 69.0.3497.100,,2018-10-24 14:44:51,2018-10-24 14:45:05,13.915s,PASSED
,,,,,,
Test Cases/GmailTests,Chrome 69.0.3497.100,,2018-10-24 14:44:52,2018-10-24 14:45:05,13.252s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-24 14:44:53,2018-10-24 14:44:58,4.419s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-24 14:44:58,2018-10-24 14:45:01,2.862s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 14:45:01,2018-10-24 14:45:01,0.421s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 14:45:01,2018-10-24 14:45:01,0.334s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-24 14:45:01,2018-10-24 14:45:02,0.785s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 14:45:02,2018-10-24 14:45:02,0.261s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-24 14:45:02,2018-10-24 14:45:03,0.649s,PASSED
